catalogCode,brand,name,variant,sizeValue,sizeUnit,categorySlug,unit,barcode,ivaRate,priceInputMode,priceTotal,synonyms,tags,imageKey,source
MX-BEV-COCACOLA-REFRESCOCOLA-600ML-LIGHT,Coca-Cola,Refresco cola,Light,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,coca-cola 600ml|coca-cola 600|refresco cola light 600ml|refresco cola light 600|coca-cola refresco cola light,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-1L-LIGHT,Coca-Cola,Refresco cola,Light,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,coca-cola 1l|coca-cola 1|refresco cola light 1l|refresco cola light 1|coca-cola refresco cola light,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-2L-LIGHT,Coca-Cola,Refresco cola,Light,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,coca-cola 2l|coca-cola 2|refresco cola light 2l|refresco cola light 2|coca-cola refresco cola light,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOSABORNARAN-235ML-FANTA,Coca-Cola,Refresco sabor naranja,Fanta,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,coca-cola 235ml|coca-cola 235|refresco sabor naranja fanta 235ml|refresco sabor naranja fanta 235|coca-cola refresco sabor naranja fanta,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOSABORNARAN-355ML-FANTA,Coca-Cola,Refresco sabor naranja,Fanta,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,coca-cola 355ml|coca-cola 355|refresco sabor naranja fanta 355ml|refresco sabor naranja fanta 355|coca-cola refresco sabor naranja fanta,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOSABORNARAN-450ML-FANTA,Coca-Cola,Refresco sabor naranja,Fanta,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,coca-cola 450ml|coca-cola 450|refresco sabor naranja fanta 450ml|refresco sabor naranja fanta 450|coca-cola refresco sabor naranja fanta,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOSABORNARAN-600ML-FANTA,Coca-Cola,Refresco sabor naranja,Fanta,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,coca-cola 600ml|coca-cola 600|refresco sabor naranja fanta 600ml|refresco sabor naranja fanta 600|coca-cola refresco sabor naranja fanta,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOSABORNARAN-1L-FANTA,Coca-Cola,Refresco sabor naranja,Fanta,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,coca-cola 1l|coca-cola 1|refresco sabor naranja fanta 1l|refresco sabor naranja fanta 1|coca-cola refresco sabor naranja fanta,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOSABORNARAN-2L-FANTA,Coca-Cola,Refresco sabor naranja,Fanta,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,coca-cola 2l|coca-cola 2|refresco sabor naranja fanta 2l|refresco sabor naranja fanta 2|coca-cola refresco sabor naranja fanta,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOLIMALIMN-235ML-SPRITE,Coca-Cola,Refresco lima-limón,Sprite,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,coca-cola 235ml|coca-cola 235|refresco lima-limón sprite 235ml|refresco lima-limón sprite 235|coca-cola refresco lima-limón sprite,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOLIMALIMN-355ML-SPRITE,Coca-Cola,Refresco lima-limón,Sprite,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,coca-cola 355ml|coca-cola 355|refresco lima-limón sprite 355ml|refresco lima-limón sprite 355|coca-cola refresco lima-limón sprite,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOLIMALIMN-450ML-SPRITE,Coca-Cola,Refresco lima-limón,Sprite,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,coca-cola 450ml|coca-cola 450|refresco lima-limón sprite 450ml|refresco lima-limón sprite 450|coca-cola refresco lima-limón sprite,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOLIMALIMN-600ML-SPRITE,Coca-Cola,Refresco lima-limón,Sprite,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,coca-cola 600ml|coca-cola 600|refresco lima-limón sprite 600ml|refresco lima-limón sprite 600|coca-cola refresco lima-limón sprite,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOLIMALIMN-1L-SPRITE,Coca-Cola,Refresco lima-limón,Sprite,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,coca-cola 1l|coca-cola 1|refresco lima-limón sprite 1l|refresco lima-limón sprite 1|coca-cola refresco lima-limón sprite,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOLIMALIMN-2L-SPRITE,Coca-Cola,Refresco lima-limón,Sprite,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,coca-cola 2l|coca-cola 2|refresco lima-limón sprite 2l|refresco lima-limón sprite 2|coca-cola refresco lima-limón sprite,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOMANZANA-235ML-SIDRALMUNDET,Coca-Cola,Refresco manzana,Sidral Mundet,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,coca-cola 235ml|coca-cola 235|refresco manzana sidral mundet 235ml|refresco manzana sidral mundet 235|coca-cola refresco manzana sidral mundet,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOMANZANA-355ML-SIDRALMUNDET,Coca-Cola,Refresco manzana,Sidral Mundet,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,coca-cola 355ml|coca-cola 355|refresco manzana sidral mundet 355ml|refresco manzana sidral mundet 355|coca-cola refresco manzana sidral mundet,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOMANZANA-450ML-SIDRALMUNDET,Coca-Cola,Refresco manzana,Sidral Mundet,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,coca-cola 450ml|coca-cola 450|refresco manzana sidral mundet 450ml|refresco manzana sidral mundet 450|coca-cola refresco manzana sidral mundet,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOMANZANA-600ML-SIDRALMUNDET,Coca-Cola,Refresco manzana,Sidral Mundet,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,coca-cola 600ml|coca-cola 600|refresco manzana sidral mundet 600ml|refresco manzana sidral mundet 600|coca-cola refresco manzana sidral mundet,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOMANZANA-1L-SIDRALMUNDET,Coca-Cola,Refresco manzana,Sidral Mundet,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,coca-cola 1l|coca-cola 1|refresco manzana sidral mundet 1l|refresco manzana sidral mundet 1|coca-cola refresco manzana sidral mundet,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOMANZANA-2L-SIDRALMUNDET,Coca-Cola,Refresco manzana,Sidral Mundet,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,coca-cola 2l|coca-cola 2|refresco manzana sidral mundet 2l|refresco manzana sidral mundet 2|coca-cola refresco manzana sidral mundet,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-235ML,Pepsi,Refresco cola,,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,pepsi 235ml|pepsi 235|refresco cola 235ml|refresco cola 235|pepsi refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-355ML,Pepsi,Refresco cola,,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,pepsi 355ml|pepsi 355|refresco cola 355ml|refresco cola 355|pepsi refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-450ML,Pepsi,Refresco cola,,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,pepsi 450ml|pepsi 450|refresco cola 450ml|refresco cola 450|pepsi refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-600ML,Pepsi,Refresco cola,,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,pepsi 600ml|pepsi 600|refresco cola 600ml|refresco cola 600|pepsi refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-1L,Pepsi,Refresco cola,,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,pepsi 1l|pepsi 1|refresco cola 1l|refresco cola 1|pepsi refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-2L,Pepsi,Refresco cola,,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,pepsi 2l|pepsi 2|refresco cola 2l|refresco cola 2|pepsi refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-235ML-ZERO,Pepsi,Refresco cola,Zero,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,pepsi 235ml|pepsi 235|refresco cola zero 235ml|refresco cola zero 235|pepsi refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-355ML-ZERO,Pepsi,Refresco cola,Zero,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,pepsi 355ml|pepsi 355|refresco cola zero 355ml|refresco cola zero 355|pepsi refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-450ML-ZERO,Pepsi,Refresco cola,Zero,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,pepsi 450ml|pepsi 450|refresco cola zero 450ml|refresco cola zero 450|pepsi refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-600ML-ZERO,Pepsi,Refresco cola,Zero,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,pepsi 600ml|pepsi 600|refresco cola zero 600ml|refresco cola zero 600|pepsi refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-1L-ZERO,Pepsi,Refresco cola,Zero,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,pepsi 1l|pepsi 1|refresco cola zero 1l|refresco cola zero 1|pepsi refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOCOLA-2L-ZERO,Pepsi,Refresco cola,Zero,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,pepsi 2l|pepsi 2|refresco cola zero 2l|refresco cola zero 2|pepsi refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOLIMALIMN-235ML-7UP,Pepsi,Refresco lima-limón,7Up,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,pepsi 235ml|pepsi 235|refresco lima-limón 7up 235ml|refresco lima-limón 7up 235|pepsi refresco lima-limón 7up,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOLIMALIMN-355ML-7UP,Pepsi,Refresco lima-limón,7Up,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,pepsi 355ml|pepsi 355|refresco lima-limón 7up 355ml|refresco lima-limón 7up 355|pepsi refresco lima-limón 7up,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOLIMALIMN-450ML-7UP,Pepsi,Refresco lima-limón,7Up,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,pepsi 450ml|pepsi 450|refresco lima-limón 7up 450ml|refresco lima-limón 7up 450|pepsi refresco lima-limón 7up,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOLIMALIMN-600ML-7UP,Pepsi,Refresco lima-limón,7Up,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,pepsi 600ml|pepsi 600|refresco lima-limón 7up 600ml|refresco lima-limón 7up 600|pepsi refresco lima-limón 7up,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOLIMALIMN-1L-7UP,Pepsi,Refresco lima-limón,7Up,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,pepsi 1l|pepsi 1|refresco lima-limón 7up 1l|refresco lima-limón 7up 1|pepsi refresco lima-limón 7up,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOLIMALIMN-2L-7UP,Pepsi,Refresco lima-limón,7Up,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,pepsi 2l|pepsi 2|refresco lima-limón 7up 2l|refresco lima-limón 7up 2|pepsi refresco lima-limón 7up,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOSABORNARAN-235ML-MIRINDA,Pepsi,Refresco sabor naranja,Mirinda,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,pepsi 235ml|pepsi 235|refresco sabor naranja mirinda 235ml|refresco sabor naranja mirinda 235|pepsi refresco sabor naranja mirinda,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOSABORNARAN-355ML-MIRINDA,Pepsi,Refresco sabor naranja,Mirinda,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,pepsi 355ml|pepsi 355|refresco sabor naranja mirinda 355ml|refresco sabor naranja mirinda 355|pepsi refresco sabor naranja mirinda,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOSABORNARAN-450ML-MIRINDA,Pepsi,Refresco sabor naranja,Mirinda,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,pepsi 450ml|pepsi 450|refresco sabor naranja mirinda 450ml|refresco sabor naranja mirinda 450|pepsi refresco sabor naranja mirinda,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOSABORNARAN-600ML-MIRINDA,Pepsi,Refresco sabor naranja,Mirinda,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,pepsi 600ml|pepsi 600|refresco sabor naranja mirinda 600ml|refresco sabor naranja mirinda 600|pepsi refresco sabor naranja mirinda,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOSABORNARAN-1L-MIRINDA,Pepsi,Refresco sabor naranja,Mirinda,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,pepsi 1l|pepsi 1|refresco sabor naranja mirinda 1l|refresco sabor naranja mirinda 1|pepsi refresco sabor naranja mirinda,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-PEPSI-REFRESCOSABORNARAN-2L-MIRINDA,Pepsi,Refresco sabor naranja,Mirinda,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,pepsi 2l|pepsi 2|refresco sabor naranja mirinda 2l|refresco sabor naranja mirinda 2|pepsi refresco sabor naranja mirinda,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-235ML-TAMARINDO,Jarritos,Refresco sabor,Tamarindo,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,jarritos 235ml|jarritos 235|refresco sabor tamarindo 235ml|refresco sabor tamarindo 235|jarritos refresco sabor tamarindo,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-355ML-TAMARINDO,Jarritos,Refresco sabor,Tamarindo,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,jarritos 355ml|jarritos 355|refresco sabor tamarindo 355ml|refresco sabor tamarindo 355|jarritos refresco sabor tamarindo,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-450ML-TAMARINDO,Jarritos,Refresco sabor,Tamarindo,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,jarritos 450ml|jarritos 450|refresco sabor tamarindo 450ml|refresco sabor tamarindo 450|jarritos refresco sabor tamarindo,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-600ML-TAMARINDO,Jarritos,Refresco sabor,Tamarindo,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,jarritos 600ml|jarritos 600|refresco sabor tamarindo 600ml|refresco sabor tamarindo 600|jarritos refresco sabor tamarindo,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-1L-TAMARINDO,Jarritos,Refresco sabor,Tamarindo,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,jarritos 1l|jarritos 1|refresco sabor tamarindo 1l|refresco sabor tamarindo 1|jarritos refresco sabor tamarindo,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-2L-TAMARINDO,Jarritos,Refresco sabor,Tamarindo,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,jarritos 2l|jarritos 2|refresco sabor tamarindo 2l|refresco sabor tamarindo 2|jarritos refresco sabor tamarindo,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-235ML-PIA,Jarritos,Refresco sabor,Piña,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,jarritos 235ml|jarritos 235|refresco sabor piña 235ml|refresco sabor piña 235|jarritos refresco sabor piña,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-355ML-PIA,Jarritos,Refresco sabor,Piña,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,jarritos 355ml|jarritos 355|refresco sabor piña 355ml|refresco sabor piña 355|jarritos refresco sabor piña,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-450ML-PIA,Jarritos,Refresco sabor,Piña,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,jarritos 450ml|jarritos 450|refresco sabor piña 450ml|refresco sabor piña 450|jarritos refresco sabor piña,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-600ML-PIA,Jarritos,Refresco sabor,Piña,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,jarritos 600ml|jarritos 600|refresco sabor piña 600ml|refresco sabor piña 600|jarritos refresco sabor piña,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-1L-PIA,Jarritos,Refresco sabor,Piña,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,jarritos 1l|jarritos 1|refresco sabor piña 1l|refresco sabor piña 1|jarritos refresco sabor piña,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-2L-PIA,Jarritos,Refresco sabor,Piña,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,jarritos 2l|jarritos 2|refresco sabor piña 2l|refresco sabor piña 2|jarritos refresco sabor piña,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-235ML-MANDARINA,Jarritos,Refresco sabor,Mandarina,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,jarritos 235ml|jarritos 235|refresco sabor mandarina 235ml|refresco sabor mandarina 235|jarritos refresco sabor mandarina,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-355ML-MANDARINA,Jarritos,Refresco sabor,Mandarina,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,jarritos 355ml|jarritos 355|refresco sabor mandarina 355ml|refresco sabor mandarina 355|jarritos refresco sabor mandarina,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-450ML-MANDARINA,Jarritos,Refresco sabor,Mandarina,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,jarritos 450ml|jarritos 450|refresco sabor mandarina 450ml|refresco sabor mandarina 450|jarritos refresco sabor mandarina,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-600ML-MANDARINA,Jarritos,Refresco sabor,Mandarina,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,jarritos 600ml|jarritos 600|refresco sabor mandarina 600ml|refresco sabor mandarina 600|jarritos refresco sabor mandarina,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-1L-MANDARINA,Jarritos,Refresco sabor,Mandarina,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,jarritos 1l|jarritos 1|refresco sabor mandarina 1l|refresco sabor mandarina 1|jarritos refresco sabor mandarina,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-2L-MANDARINA,Jarritos,Refresco sabor,Mandarina,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,jarritos 2l|jarritos 2|refresco sabor mandarina 2l|refresco sabor mandarina 2|jarritos refresco sabor mandarina,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-235ML-TORONJA,Jarritos,Refresco sabor,Toronja,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,jarritos 235ml|jarritos 235|refresco sabor toronja 235ml|refresco sabor toronja 235|jarritos refresco sabor toronja,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-355ML-TORONJA,Jarritos,Refresco sabor,Toronja,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,jarritos 355ml|jarritos 355|refresco sabor toronja 355ml|refresco sabor toronja 355|jarritos refresco sabor toronja,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-JARRITOS-REFRESCOSABOR-450ML-TORONJA,Jarritos,Refresco sabor,Toronja,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,jarritos 450ml|jarritos 450|refresco sabor toronja 450ml|refresco sabor toronja 450|jarritos refresco sabor toronja,beverages|refresco,,CURATED_MX_V4_PLUS
